Minus-X_Array,,
,,
Time (UTCG),Power (W),Solar Intensity
43:00.0,7.193,1
44:00.0,6.963,1
45:00.0,6.635,1
46:00.0,6.335,1
47:00.0,6.094,1
48:00.0,5.924,1
49:00.0,5.757,1
50:00.0,5.625,1
51:00.0,5.526,1
52:00.0,5.455,1
53:00.0,5.416,1
54:00.0,5.388,1
55:00.0,5.415,1
56:00.0,5.46,1
57:00.0,5.53,1
58:00.0,5.628,1
59:00.0,5.763,1
00:00.0,5.93,1
01:00.0,6.107,1
02:00.0,6.343,1
03:00.0,6.648,1
04:00.0,6.971,1
05:00.0,7.204,1
06:00.0,7.357,1
07:00.0,7.42,1
08:00.0,7.42,1
09:00.0,7.418,1
10:00.0,7.418,1
11:00.0,7.421,1
12:00.0,7.421,1
13:00.0,7.419,1
14:00.0,7.421,1
15:00.0,7.419,1
16:00.0,7.42,1
17:00.0,7.42,1
18:00.0,7.427,1
19:00.0,7.421,1
20:00.0,7.424,1
21:00.0,7.42,1
22:00.0,7.422,1
23:00.0,7.419,1
24:00.0,7.421,1
25:00.0,7.418,1
26:00.0,7.418,1
27:00.0,7.425,1
28:00.0,7.421,1
29:00.0,7.414,1
30:00.0,7.397,1
31:00.0,7.285,1
32:00.0,7.088,1
33:00.0,6.838,1
34:00.0,6.555,1
35:00.0,6.323,1
36:00.0,6.158,1
37:00.0,6.032,1
38:00.0,5.909,1
39:00.0,5.823,1
40:00.0,5.766,1
41:00.0,5.741,1
42:00.0,5.741,1
43:00.0,5.774,1
44:00.0,5.844,1
45:00.0,5.942,1
46:00.0,6.071,1
47:00.0,6.2,1
48:00.0,6.384,1
49:00.0,6.631,1
50:00.0,6.918,1
51:00.0,7.15,1
52:00.0,7.328,1
53:00.0,7.417,1
54:00.0,7.417,1
55:00.0,7.42,1
56:00.0,7.42,1
57:00.0,7.418,1
58:00.0,7.419,1
59:00.0,7.421,1
00:00.0,7.417,1
01:00.0,7.42,1
02:00.0,7.421,1
03:00.0,7.422,1
04:00.0,7.419,1
05:00.0,7.396,1
06:00.0,7.42,1
07:00.0,7.42,1
08:00.0,7.419,1
09:00.0,7.419,1
10:00.0,7.421,1
11:00.0,7.419,1
12:00.0,7.427,1
13:00.0,7.419,1
14:00.0,7.421,1
15:00.0,7.421,1
16:00.0,7.414,1
17:00.0,7.328,1
18:00.0,7.135,1
19:00.0,6.889,1
20:00.0,6.55,1
21:00.0,6.267,1
22:00.0,6.059,1
23:00.0,5.877,1
24:00.0,5.714,1
25:00.0,5.595,1
26:00.0,5.505,1
27:00.0,5.445,1
28:00.0,5.41,1
29:00.0,5.406,1
30:00.0,5.422,1
31:00.0,5.475,1
32:00.0,5.553,1
33:00.0,5.658,1
34:00.0,5.802,1
35:00.0,5.976,1
36:00.0,6.158,1
37:00.0,6.418,1
38:00.0,6.74,1
39:00.0,7.037,1
40:00.0,7.256,1
41:00.0,7.39,1
42:00.0,7.419,1
43:00.0,7.418,1
44:00.0,7.421,1
45:00.0,7.415,1
46:00.0,7.419,1
47:00.0,7.421,1
48:00.0,7.42,1
49:00.0,7.42,1
50:00.0,7.421,1
51:00.0,7.418,1
52:00.0,7.428,1
53:00.0,7.423,1
54:00.0,7.42,1
55:00.0,7.418,1
56:00.0,7.418,1
57:00.0,7.421,1
58:00.0,7.419,1
59:00.0,7.418,1
00:00.0,7.42,1
01:00.0,7.417,1
02:00.0,7.421,1
03:00.0,7.42,1
04:00.0,7.421,1
05:00.0,7.37,1
06:00.0,7.236,1
07:00.0,7.024,1
08:00.0,6.76,1
09:00.0,6.489,1
10:00.0,6.275,1
11:00.0,6.123,1
12:00.0,5.998,1
13:00.0,5.88,1
14:00.0,5.804,1
15:00.0,5.759,1
16:00.0,5.74,1
17:00.0,5.75,1
18:00.0,5.794,1
19:00.0,5.867,1
20:00.0,5.974,1
21:00.0,6.105,1
22:00.0,6.237,1
23:00.0,6.449,1
24:00.0,6.705,1
25:00.0,6.987,1
26:00.0,7.202,1
27:00.0,7.359,1
28:00.0,7.412,1
29:00.0,7.418,1
30:00.0,7.419,1
31:00.0,7.418,1
32:00.0,7.421,1
33:00.0,7.423,1
34:00.0,7.418,1
35:00.0,7.416,1
36:00.0,7.418,1
37:00.0,7.421,1
38:00.0,7.419,1
39:00.0,7.414,1
40:00.0,7.42,1
41:00.0,7.421,1
42:00.0,7.419,1
43:00.0,7.42,1
44:00.0,7.42,1
45:00.0,7.414,1
46:00.0,7.406,1
47:00.0,7.419,1
48:00.0,7.422,1
49:00.0,7.418,1
50:00.0,7.425,1
51:00.0,7.403,1
52:00.0,7.276,1
53:00.0,7.078,1
54:00.0,6.799,1
55:00.0,6.469,1
56:00.0,6.198,1
57:00.0,6.009,1
58:00.0,5.829,1
59:00.0,5.682,1
00:00.0,5.568,1
01:00.0,5.488,1
02:00.0,5.427,1
03:00.0,5.402,1
04:00.0,5.405,1
05:00.0,5.432,1
06:00.0,5.489,1
07:00.0,5.577,1
08:00.0,5.691,1
09:00.0,5.844,1
10:00.0,6.02,1
11:00.0,6.216,1
