                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
   123    28 Jan 2025 12:33:59.323    28 Jan 2025 12:50:40.306          1000.983    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   124    29 Jan 2025 07:31:43.099    29 Jan 2025 07:46:38.649           895.550    Satellite12    Satellite12        1               24.016878          1060811.573197          100.000000                4416941.971327
   125    29 Jan 2025 09:06:08.081    29 Jan 2025 09:22:28.564           980.483    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   126    29 Jan 2025 10:40:20.466    29 Jan 2025 10:57:13.439          1012.973    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   127    29 Jan 2025 12:15:03.508    29 Jan 2025 12:31:55.053          1011.545    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
   128    29 Jan 2025 13:49:46.534    29 Jan 2025 14:01:43.194           716.660    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   129    30 Jan 2025 07:12:51.122    30 Jan 2025 07:27:05.136           854.014    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   130    30 Jan 2025 08:47:18.769    30 Jan 2025 09:03:34.913           976.144    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   131    30 Jan 2025 10:21:33.630    30 Jan 2025 10:38:19.556          1005.926    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   132    30 Jan 2025 11:56:07.670    30 Jan 2025 12:13:04.007          1016.337    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   133    30 Jan 2025 13:30:50.678    30 Jan 2025 13:46:37.131           946.453    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   134    31 Jan 2025 06:59:07.883    31 Jan 2025 07:07:17.292           489.409    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   135    31 Jan 2025 08:28:28.957    31 Jan 2025 08:44:35.431           966.474    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
   136    31 Jan 2025 10:02:46.297    31 Jan 2025 10:19:25.400           999.103    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   137    31 Jan 2025 11:37:11.811    31 Jan 2025 11:54:09.631          1017.821    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   138    31 Jan 2025 13:11:54.800    31 Jan 2025 13:28:07.664           972.864    Satellite12    Satellite12        1               31.538677          1393045.077540          100.000000                4416941.971327
   139     1 Feb 2025 08:09:38.634     1 Feb 2025 08:25:29.085           950.451    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   140     1 Feb 2025 09:43:58.470     1 Feb 2025 10:00:30.978           992.508    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
   141     1 Feb 2025 11:18:15.929     1 Feb 2025 11:35:14.985          1019.056    Satellite12    Satellite12        1               87.094233          3846901.728277          100.000000                4416941.971327
   142     1 Feb 2025 12:52:58.900     1 Feb 2025 13:09:33.192           994.292    Satellite12    Satellite12        1               34.793727          1536818.731764          100.000000                4416941.971327
   143     2 Feb 2025 07:50:47.786     2 Feb 2025 08:06:15.106           927.320    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
   144     2 Feb 2025 09:25:10.151     2 Feb 2025 09:41:36.288           986.137    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   145     2 Feb 2025 10:59:20.026     2 Feb 2025 11:16:20.406          1020.380    Satellite12    Satellite12        1               89.544853          3955144.179823          100.000000                4416941.971327
   146     2 Feb 2025 12:34:12.554     2 Feb 2025 12:50:53.488          1000.934    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   147     3 Feb 2025 07:31:56.389     3 Feb 2025 07:46:52.363           895.974    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   148     3 Feb 2025 09:06:21.340     3 Feb 2025 09:22:41.923           980.583    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   149     3 Feb 2025 10:40:33.697     3 Feb 2025 10:57:26.785          1013.089    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   150     3 Feb 2025 12:15:16.737     3 Feb 2025 12:32:08.301          1011.564    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
